丽江市,丽江,Lijiang City,Lijiang,156530700,530700,100.22525799966,26.85830000004,11,亚洲,101291401
昭通市,昭通,Zhaotong City,Zhaotong,156530600,530600,103.71468499971,27.34157700038,11,亚洲,101291001
迪庆藏族自治州,迪庆藏族,Diqing Zang Autonomous Prefecture,Deqen,156533400,533400,99.42577099973,27.87681900040,11,亚洲,0
凉山彝族自治州,凉山彝族,Liangshan Yi Autonomous Prefecture,Liangshan,156513400,513400,102.26596300039,27.88502900039,11,亚洲,0
山南市,山南,Shannan City,Shannan,156540500,540500,91.77186700046,29.24009400014,11,亚洲,101140301
日喀则市,日喀则,Rikaze City,Xigaze,156540200,540200,88.88521000014,29.27295300008,11,亚洲,101140201
林芝市,林芝,Linzhi Prefecture,Nyingchi,156540400,540400,94.90301099966,29.29152600042,11,亚洲,101140401
乐山市,乐山,Leshan City,Leshan,156511100,511100,103.76316999990,29.55495999980,11,亚洲,101271401
拉萨市,拉萨,Lhasa Shi,Lhasa,156540100,540100,91.11292000016,29.64679900007,11,亚洲,101140101
雅安市,雅安,Ya'an City,Ya'an,156511800,511800,103.01141599965,29.98318200005,11,亚洲,101271701
眉山市,眉山,Meishan City,Meishan,156511400,511400,103.84643799971,30.07833300017,11,亚洲,101271501
甘孜藏族自治州,甘孜藏族,Ganzi Zang Autonomous Prefecture,Garze,156513300,513300,100.23418100015,30.26565699977,11,亚洲,0
成都市,成都,Chengdu Shi,Chengdu,156510100,510100,104.06226900001,30.66112300033,11,亚洲,101270101
德阳市,德阳,Deyang City,Deyang,156510600,510600,104.39521299968,31.12892800033,11,亚洲,101272001
昌都市,昌都,Changdu City,,156540300,540300,97.17166300005,31.14300600023,11,亚洲,101140501
阿坝藏族羌族自治州,阿坝藏族羌族,Aba Zang Qiang Autonomous Prefecture,Aba,156513200,513200,102.66324700025,32.43544000036,11,亚洲,0
那曲市,那曲市,Naqu City,Nagqu,156540600,540600,88.20841799979,32.61274800032,11,亚洲,0
阿里地区,阿里地区,Ali Prefecture,Ngari,156542500,542500,82.11250499991,33.22940400009,11,亚洲,0
玉树藏族自治州,玉树藏族,Yushu Zang Autonomous Prefecture,Yushu,156632700,632700,94.49826199999,34.11403700011,11,亚洲,0
果洛藏族自治州,果洛藏族,Guoluo Zang Autonomous Prefecture,Golog,156632600,632600,99.51720100003,34.23338800016,11,亚洲,0
甘南藏族自治州,甘南藏族,Gannan Zang Autonomous Prefecture,Gannan,156623000,623000,102.69867299986,34.62744400044,11,亚洲,0
黄南藏族自治州,黄南藏族,Huangnan Zang Autonomous Prefecture,Huangnan,156632300,632300,101.57765000025,34.92688400010,11,亚洲,0
三沙市,三沙,Sansha City,Sansha,156460300,460300,112.33741700019,16.83742299977,11,亚洲,0
三亚市,三亚,Sanya City,Sanya,156460200,460200,109.51325999975,18.23791900006,11,亚洲,101310201
海口市,海口,Haikou Shi,Haikou,156460100,460100,110.32395600037,20.03344299959,11,亚洲,101310101
湛江市,湛江,Zhanjiang City,Zhanjiang,156440800,440800,110.35486799956,21.27321999960,11,亚洲,101281001
北海市,北海,Beihai City,Beihai,156450500,450500,109.11578600012,21.48350100027,11,亚洲,101301301
茂名市,茂名,Maoming City,Maoming,156440900,440900,110.92072799960,21.66606699989,11,亚洲,101282001
防城港市,防城港,Fangchenggang City,Fangchenggang,156450600,450600,108.35002999989,21.68961300024,11,亚洲,101301401
阳江市,阳江,Yangjiang City,Yangjiang,156441700,441700,111.97749300010,21.86103200023,11,亚洲,101281801
钦州市,钦州,Qinzhou City,Qinzhou,156450700,450700,108.65041700005,21.98376499976,11,亚洲,101301101
珠海市,珠海,Zhuhai City,Zhuhai,156440400,440400,113.57163099997,22.27373599982,11,亚洲,101280701
崇左市,崇左,Chongzuo City,Chongzuo,156451400,451400,107.36085200002,22.37931200045,11,亚洲,101300201
中山市,中山,Zhongshan City,Zhongshan,156442000,442000,113.38712199978,22.51864200003,11,亚洲,101281701
深圳市,深圳,Shenzhen City,Shenzhen,156440300,440300,114.05285700015,22.54567600025,11,亚洲,101280601
江门市,江门,Jiangmen City,Jiangmen,156440700,440700,113.07622200045,22.58138700041,11,亚洲,101281101
玉林市,玉林,Yulin City,Yulin,156450900,450900,110.16001399985,22.63906199991,11,亚洲,101300901
高雄市,高雄,Kaohsiung,Kaohsiung,156711000,711000,120.28196099980,22.64416200038,11,亚洲,101340201
汕尾市,汕尾,Shanwei City,Shanwei,156441500,441500,115.37031999977,22.78846099978,11,亚洲,101282101
南宁市,南宁,Nanning Shi,Nanning,156450100,450100,108.36257099995,22.81908700016,11,亚洲,101300101
云浮市,云浮,Yunfu City,Yunfu,156445300,445300,112.03934499977,22.91763799969,11,亚洲,101281401
东莞市,东莞,Dongguan City,Dongguan,156441900,441900,113.74641100027,23.02271799994,11,亚洲,101281601
佛山市,佛山,Foshan City,Foshan,156440600,440600,113.11642800015,23.02439499993,11,亚洲,101280800
肇庆市,肇庆,Zhaoqing City,Zhaoqing,156441200,441200,112.46000999956,23.04950899974,11,亚洲,101280901
惠州市,惠州,Huizhou City,Huizhou,156441300,441300,114.41177100043,23.11345399970,11,亚洲,101280301
贵港市,贵港,Guigang City,Guigang,156450800,450800,109.59488400020,23.11449900023,11,亚洲,101300801
广州市,广州,Guangzhou Shi,Guangzhou,156440100,440100,113.25998699960,23.13140700023,11,亚洲,101280101
汕头市,汕头,Shantou City,Shantou,156440500,440500,116.67774999986,23.35616200018,11,亚洲,101280501
梧州市,梧州,Wuzhou City,Wuzhou,156450400,450400,111.27402900004,23.47962400005,11,亚洲,101300601
揭阳市,揭阳,Jieyang City,Jieyang,156445200,445200,116.36800399979,23.55211900039,11,亚洲,101281901
潮州市,潮州,Chaozhou City,Chaozhou,156445100,445100,116.61860299993,23.65945000012,11,亚洲,101281501
清远市,清远,Qingyuan City,Qingyuan,156441800,441800,113.05068299992,23.68448099970,11,亚洲,101281301
文山壮族苗族自治州,文山壮族苗族,Wenshan Zhuang Miao Autonomous Prefecture,Wenshan,156532600,532600,104.69422400024,23.69772199967,11,亚洲,0
河源市,河源,Heyuan City,Heyuan,156441600,441600,114.69595599987,23.74630699997,11,亚洲,101281201
来宾市,来宾,Laibin City,Laibin,156451300,451300,109.21698799960,23.75299299983,11,亚洲,101300401
百色市,百色,Baise City,Bose,156451000,451000,106.61442399987,23.90626500023,11,亚洲,101301001
梅州市,梅州,Meizhou City,Meizhou,156441400,441400,116.11780500010,24.29106099977,11,亚洲,101280401
柳州市,柳州,Liuzhou City,Liuzhou,156450200,450200,109.41090300007,24.32811599985,11,亚洲,101300301
贺州市,贺州,Hezhou City,Hezhou,156451100,451100,111.56142299997,24.40648799962,11,亚洲,101300701
厦门市,厦门,Xiamen City,Xiamen,156350200,350200,118.08449799978,24.48215799979,11,亚洲,101230201
漳州市,漳州,Zhangzhou City,Zhangzhou,156350600,350600,117.64247299973,24.51645999973,11,亚洲,101230601
河池市,河池,Hechi City,Hechi,156451200,451200,108.08114600009,24.69566499994,11,亚洲,101301201
韶关市,韶关,Shaoguan City,Shaoguan,156440200,440200,113.59205100005,24.81331799993,11,亚洲,101280201
泉州市,泉州,Quanzhou City,Quanzhou,156350500,350500,118.58264200043,24.91043499988,11,亚洲,101230501
龙岩市,龙岩,Longyan City,Longyan,156350800,350800,117.01236099996,25.07781199962,11,亚洲,101230701
桂林市,桂林,Guilin City,Guilin,156450300,450300,110.28543400008,25.27644600008,11,亚洲,101300501
黔西南布依族苗族自治州,黔西南布依族苗族,Qianxinan Bouyei Miao Autonomous Prefecture,Qianxinan,156522300,522300,105.40292599993,25.33319900023,11,亚洲,0
莆田市,莆田,Putian City,Putian,156350300,350300,119.00298899994,25.45679900017,11,亚洲,101230401
台北市,台北,Taipei Shi,Taipei,156719000,719000,121.56378699997,25.03752199964,11,亚洲,101340101
黔南布依族苗族自治州,黔南布依族苗族,Qiannan Bouyei Miao Autonomous Prefecture,Qiannan,156522700,522700,107.12977900010,26.04342900025,11,亚洲,0
安顺市,安顺,Anshun City,Anshun,156520400,520400,105.94424899979,26.25660699961,11,亚洲,101260301
永州市,永州,Yongzhou City,Yongzhou,156431100,431100,111.60701499984,26.42393399975,11,亚洲,101251401
黔东南苗族侗族自治州,黔东南苗族侗族,Qiandongnan Miao Dong Autonomous Prefecture,Qiandongnan,156522600,522600,108.66559400026,26.58701600019,11,亚洲,0
六盘水市,六盘水,Liupanshui City,Lupanshui,156520200,520200,104.82845000007,26.59628499955,11,亚洲,0
贵阳市,贵阳,Guiyang Shi,Guiyang,156520100,520100,106.62664100028,26.65096000010,11,亚洲,101260101
中寨镇,中寨镇,Zhongzhai Zhen,Zhongzhai,156520500,520500,105.65481065559,26.68771782732,11,亚洲,0
邵阳市,邵阳,Shaoyang City,Shaoyang,156430500,430500,111.46211999994,27.24213100005,11,亚洲,101250901
毕节市,毕节,Bijie District,Bijie,156520500,520500,105.28091100024,27.30604300028,11,亚洲,101260701
怀化市,怀化,Huaihua City,Huaihua,156431200,431200,109.99317399968,27.55986699986,11,亚洲,101251201
娄底市,娄底,Loudi City,Loudi,156431300,431300,111.98908000024,27.70060599967,11,亚洲,101250801
遵义市,遵义,Zunyi City,Zunyi,156520300,520300,106.92340199960,27.72897500030,11,亚洲,101260201
铜仁市,铜仁,Tongren City,Tongren,156520600,520600,109.18502399956,27.73481799995,11,亚洲,101260601
益阳市,益阳,Yiyang City,Yiyang,156430900,430900,112.34951399957,28.55735799997,11,亚洲,101250700
湘西土家族苗族自治州,湘西土家族苗族,Xiangxi Tujia Miao Autonomous Prefectur,Xiangxi,156433100,433100,109.72218700003,28.74821899991,11,亚洲,0
宜宾市,宜宾,Yibin City,Yibin,156511500,511500,104.64077200033,28.75515999983,11,亚洲,101271101
泸州市,泸州,Luzhou City,Luzhou,156510500,510500,105.43897300030,28.87472900004,11,亚洲,101271001
常德市,常德,Changde City,Changde,156430700,430700,111.69294199997,29.03460800026,11,亚洲,101250601
张家界市,张家界,Zhangjiajie City,Zhangjiajie,156430800,430800,110.47418699993,29.11912900030,11,亚洲,101251101
自贡市,自贡,Zigong City,Zigong,156510300,510300,104.77573499997,29.34205200030,11,亚洲,101270301
内江市,内江,Neijiang City,Neijiang,156511000,511000,105.05521700016,29.58272599961,11,亚洲,101271201
资阳市,资阳,Ziyang City,Ziyang,156512000,512000,104.62545800009,30.13137700015,11,亚洲,101271301
